Resort,GoogleMapsDirectionsURL
"Snow Cruise Onze","https://www.google.com/maps/dir/?api=1&destination=Snow%20Cruise%20Onze%2C%20Hokkaido%2C%20Japan"
"Anpeizan Ski Area","https://www.google.com/maps/dir/?api=1&destination=Anpeizan%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Hobetsu Ski Area","https://www.google.com/maps/dir/?api=1&destination=Hobetsu%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Muroran Kōgen Danpara Ski Area","https://www.google.com/maps/dir/?api=1&destination=Muroran%20K%C5%8Dgen%20Danpara%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Noboribetsu Kōgen Karls Onsen Sanlaiva","https://www.google.com/maps/dir/?api=1&destination=Noboribetsu%20K%C5%8Dgen%20Karls%20Onsen%20Sanlaiva%2C%20Hokkaido%2C%20Japan"
"Orofure Ski Area","https://www.google.com/maps/dir/?api=1&destination=Orofure%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Windsor Snow Village","https://www.google.com/maps/dir/?api=1&destination=Windsor%20Snow%20Village%2C%20Hokkaido%2C%20Japan"
"Greenpia Ōnuma Ski Area","https://www.google.com/maps/dir/?api=1&destination=Greenpia%20%C5%8Cnuma%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Hakodate Nanae Ski Area","https://www.google.com/maps/dir/?api=1&destination=Hakodate%20Nanae%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Niyama Kōgen Ski Area","https://www.google.com/maps/dir/?api=1&destination=Niyama%20K%C5%8Dgen%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Imakane Town Pirika Ski Area","https://www.google.com/maps/dir/?api=1&destination=Imakane%20Town%20Pirika%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
